period radius
40.7696 1.5466
22.2081 3.6097
17.3172 3.2085
12.1914 2.4158
178.1394 2.3720
5.7562 2.2794
10.1985 1.8794
2.2111 1.9940
27.9565 2.0459
42.1243 1.9929
4.6175 1.7464
29.9634 2.2158
38.5845 7.5145
1.2528 1.5998
16.8583 2.1875
49.5005 2.1734
6.4754 1.6723
6.4220 1.3057
7.7021 0.8784
17.4448 2.8484
6.5716 1.3489
0.6668 1.7698
11.7916 2.3686
15.2311 2.0915
132.9954 2.7837
14.7966 1.1089
24.0721 1.2592
6.3334 8.7593
10.1384 0.7405
16.5710 2.0240
1.9319 0.6003
2.4670 1.5568
8.7042 2.8504
18.3847 1.0503
34.2686 2.2246
17.6484 2.2035
4.1481 0.9745
7.1568 2.2365
10.1281 2.0986
2.2405 1.4487
6.8278 1.5949
42.8775 1.9654
41.6977 2.4273
13.0939 2.2873
4.9154 1.5171
107.7211 4.1111
6.6183 2.5800
44.9641 2.0594
16.5141 2.5936
30.1329 3.0002
4.7909 1.2959
99.6416 2.5179
1.1185 1.0726
4.8301 1.8071
4.7083 10.1012
2.4119 1.1731
148.4602 3.5505
7.1277 1.1915
5.7148 13.7558
38.6715 2.8448
4.4459 2.9192
215.9574 3.1601
12.8299 3.7884
1.6539 0.8968
4.3372 1.5105
10.4355 1.2489
17.4533 0.7758
5.2497 0.6803
7.4109 0.9571
2.3617 1.4346
133.3037 2.4098
0.8003 0.9448
3.7557 1.5795
100.2831 2.7135
10.4957 1.4518
21.8695 1.6279
30.5876 2.3448
15.0337 1.6256
1.6289 1.2619
14.4079 33.4483
2.0619 1.5728
5.9965 2.8504
5.7281 1.6171
6.0104 3.9173
13.0328 1.4499
10.3999 1.3803
20.1349 2.7387
3.5788 10.4576
2.6353 0.7178
4.0223 1.4472
24.3158 3.2971
16.2962 2.2012
11.4929 29.2121
11.1297 2.2496
24.3344 2.6697
3.6405 0.6219
13.4845 3.4385
27.4023 3.6771
52.0908 7.2376
81.0629 3.0487
13.5708 2.7358
